441,35,[2016-06-24 17:15 :12] RT @Xena _CN: 한강 자살 방지 캠페인으로 이 짤을 보는 것만큼 효과적인 것도 없을 듯. 종종 한강 물 온도 따듯하냐고 묻는 아재들한테 지금 물 온도가 중요한 게 아니 https: //t .co /pq00XydQr0
441,36,"[2016-06-24 17:16 :26] "" @jeby _8: 자 이제 좀 자살 할까~! https: //t .co /D8KONUdYnk"" 대리 글"
441,37,[2016-06-24 17:17 :55] 자살 맨 중원이한테 막 앵기는 거 술 취했을 때 한정이었으면 좋겠다
441,38,"[2016-06-24 17:18 :32] 정체성에 대해 의구심을 갖게 되고, 자신의 몰가치성에 주목하게 된다."
441,39,이러한 개인의 몰가치성에 대한 주목이 극단적으로 확대되었을 때 크게 두 가지 형태로 표현된다.
441,40,"하나는 자살이며, 다른 하나는 강박장애다."
441,41,[2016-06-24 17:19 :27] RT @BTS _DALSHU: @BTS _DALSHU 이 친구는 이혼하신 부모님 중 엄마와 같이 살고 있는 아이입니다.
441,42,어느 날 아빠가 이 친구를 집에 데려가 감금을 하며 학교를 가지 못하게 하고 술 마신 후에는 욕을 하였습니다.
441,43,그걸 견디지 못한 친구는…
441,44,[2016-06-24 17:19 :43] 근데 이건 진짜 망상인데 전에 풀었던 그 학원 물 썰 전제로 안 아프게 죽는 법이라면 많을 거고 그중에는 태 재가 최근 심취해 있다는 투신 자살이랑 은 비교도 안될 만큼 편하게 죽을 수 있는 방법 있다는 것도 알지만 중원이 는 태 재가 자기 보는 앞 아니라 다른 데서
441,45,[2016-06-24 17:24 :14] 그의 일기를 보니 살인보다는 자살을
441,46,"[2016-06-24 17:24 :36] 음 자살이 차올라,,,,, 자살 게이지 풀~~~!"
441,47,[2016-06-24 17:25 :03] RT @BTS _DALSHU: @BTS _DALSHU 이 친구는 이혼하신 부모님 중 엄마와 같이 살고 있는 아이입니다.
441,48,어느 날 아빠가 이 친구를 집에 데려가 감금을 하며 학교를 가지 못하게 하고 술 마신 후에는 욕을 하였습니다.
441,49,그걸 견디지 못한 친구는…
441,50,[2016-06-24 17:25 :47] RT @Xena _CN: 한강 자살 방지 캠페인으로 이 짤을 보는 것만큼 효과적인 것도 없을 듯. 종종 한강 물 온도 따듯하냐고 묻는 아재들한테 지금 물 온도가 중요한 게 아니 https: //t .co /pq00XydQr0
441,51,[2016-06-24 17:26 :00] RT @Xena _CN: 한강 자살 방지 캠페인으로 이 짤을 보는 것만큼 효과적인 것도 없을 듯. 종종 한강 물 온도 따듯하냐고 묻는 아재들한테 지금 물 온도가 중요한 게 아니 https: //t .co /pq00XydQr0
441,52,[2016-06-24 17:26 :19] RT @Xena _CN: 한강 자살 방지 캠페인으로 이 짤을 보는 것만큼 효과적인 것도 없을 듯. 종종 한강 물 온도 따듯하냐고 묻는 아재들한테 지금 물 온도가 중요한 게 아니 https: //t .co /pq00XydQr0
441,53,[2016-06-24 17:26 :36] RT @opo0922: # 연성해 주세요
441,54,수이 사이드 증후군- 자살 하트 증후군
441,55,자살 욕구가 생기면 목에 풍선이 달리는데 커지면 목이 졸려 죽는 증후군
441,56,이 풍선을 억지로 터트릴 수 없습니다
441,57,소중한 사람들은 그저 지켜봐야 함 ^_^( 자 닌 https: //t .co /h5UJ…
441,58,[2016-06-24 17:27 :29] @J _keulim ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 원고 레릿ㄲ해버리고 싶어요...
441,59,그리고 모아 둔 원고 비로 부산여행.. ㅎㅎ.. ㅎ..( 자살
441,60,딸기람님도 원고하셔 야죠!
441,61,[2016-06-24 17:27 :39] ( 지금도 천개의 태양 누가 좋아한다고 하면 밧줄 들고 퀵 자살 준비하는 사람)
441,62,[2016-06-24 17:28 :32] ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 뎨둉합니다....
441,63,사실 자살은 제 정크 랫 전매 특허 라........
441,64,[2016-06-24 17:28 :40] 답은 자살뿐
441,65,[2016-06-24 17:28 :41] RT @miracle9813: @Jaemyung _Lee @02yhlee 이영희 의원? 당신이 받은 월봉 360여만원은 월봉 150도 안되는 사람들이 내는 세금으로 만들어 졌다는 것을 알기나 하시오?
441,66,그 돈에서 세금 떼고 4 대보험 떼고 아무것도 없는데..…
441,67,[2016-06-24 17:30 :57] @0 _0Yo _o .... 스치스럽 군..( 자살
441,68,[2016-06-24 17:31 :31] RT @2227 _0120: 한강에서 투신하고 살아나면 오염물 투척이 아니라 수영 금지구역에서 수영을 했다고
441,69,해서 벌금을 내고 자살이 성공한 사람에 겐 벌금을 부여하지 않습니다.
441,70,다만 국가에선 시신을 수습할 의무가 없어서 사설업체에 가족들이 의뢰해 시신을…
