16,source_promote suicide
17,source_help
18,specific place
19,specific method
20,difficulty
21,ease
22,descriptive social norm
23,referent_disapproval
24,referent_approval
25,others_disapproval
26,others_approval
27,negative_outcome
28,positive_outcome
